variant,seed,pipeline,regime,metric,ell,mean,median,ci_low,ci_high,accuracy
symmetric_control_v2_normmatched,0,A,0,PR,,7.856132054401961,7.994805527141901,7.818169743507289,7.892741155689428,0.4906
symmetric_control_v2_normmatched,0,A,0,DeltaCyc,2,0.039499728071406705,0.03547239643461608,0.03804973482245321,0.0409840582833142,0.4906
symmetric_control_v2_normmatched,0,A,0,DeltaCyc,3,-0.014555365707700819,-0.013300226139382365,-0.01510079331581019,-0.01399818563837338,0.4906
symmetric_control_v2_normmatched,0,A,0,DeltaCyc,4,0.004745042735057366,0.004128551743031839,0.004498211883545399,0.0049931673688191815,0.4906
symmetric_control_v2_normmatched,0,A,1,PR,,7.881279287185479,7.995709777245937,7.845149466081934,7.914050604663936,0.4906
symmetric_control_v2_normmatched,0,A,1,DeltaCyc,2,0.038310961701490315,0.03454426345285905,0.03690608113733425,0.03977474190870859,0.4906
symmetric_control_v2_normmatched,0,A,1,DeltaCyc,3,-0.01406988741417994,-0.012845454018895253,-0.014625634251523923,-0.0135195884343392,0.4906
symmetric_control_v2_normmatched,0,A,1,DeltaCyc,4,0.004435459735309737,0.0038808741298616,0.004202471458432668,0.004677742911621561,0.4906
symmetric_control_v2_normmatched,0,A,2,PR,,7.875966857420904,7.99563695068266,7.838983039723928,7.909933953128952,0.4906
symmetric_control_v2_normmatched,0,A,2,DeltaCyc,2,0.03897385330126544,0.03564669916118113,0.03753037540627585,0.04041285881973257,0.4906
symmetric_control_v2_normmatched,0,A,2,DeltaCyc,3,-0.014255960346416524,-0.013149761676952837,-0.01481826532272317,-0.013682512034052585,0.4906
symmetric_control_v2_normmatched,0,A,2,DeltaCyc,4,0.004586824332693542,0.00410890514666476,0.004337631567988631,0.004830019147809333,0.4906
symmetric_control_v2_normmatched,0,A,3,PR,,7.848533734069615,7.995600529754379,7.8076441454120085,7.886768944203121,0.4906
symmetric_control_v2_normmatched,0,A,3,DeltaCyc,2,0.039074137247311076,0.036393255654527,0.037741041960234034,0.04046719128772649,0.4906
symmetric_control_v2_normmatched,0,A,3,DeltaCyc,3,-0.014269086975477947,-0.013129586541148874,-0.01482138450402716,-0.01374087659514572,0.4906
symmetric_control_v2_normmatched,0,A,3,DeltaCyc,4,0.004619695225753676,0.0041517713367072995,0.004381618991565392,0.004863008504081312,0.4906
symmetric_control_v2_normmatched,0,B,0,PR,,7.703181618328635,7.9995714144933405,7.644798849518685,7.757763238143171,0.4906
symmetric_control_v2_normmatched,0,B,0,DeltaCyc,2,0.0051986363121966205,0.004678571713146784,0.005011484130337563,0.0053868462730491135,0.4906
symmetric_control_v2_normmatched,0,B,0,DeltaCyc,3,-0.0016276622497830636,-0.0014501712471913786,-0.0016922563869160596,-0.0015617334718013882,0.4906
symmetric_control_v2_normmatched,0,B,0,DeltaCyc,4,0.0005021106114345218,0.0004313672468423402,0.00047637453775314855,0.0005272448486086256,0.4906
symmetric_control_v2_normmatched,0,B,1,PR,,7.779785920811305,7.999657110877992,7.728525197538616,7.828500037080753,0.4906
symmetric_control_v2_normmatched,0,B,1,DeltaCyc,2,0.004974414820221737,0.004341668949431221,0.0047915097784076415,0.005164309212543549,0.4906
symmetric_control_v2_normmatched,0,B,1,DeltaCyc,3,-0.001594529017843802,-0.0013552623006233278,-0.001659907553341742,-0.001530424061458352,0.4906
symmetric_control_v2_normmatched,0,B,1,DeltaCyc,4,0.0004791583157582953,0.0003856311106032462,0.00045324460049334477,0.0005053736533152832,0.4906
symmetric_control_v2_normmatched,0,B,2,PR,,7.773300271280479,7.99966065504198,7.72036325810639,7.823575708222522,0.4906
symmetric_control_v2_normmatched,0,B,2,DeltaCyc,2,0.004913748625037347,0.004191140926445125,0.004732200704729554,0.005097138207233925,0.4906
symmetric_control_v2_normmatched,0,B,2,DeltaCyc,3,-0.001573616406695509,-0.0013069180893827415,-0.001641848260817178,-0.0015070800357906804,0.4906
symmetric_control_v2_normmatched,0,B,2,DeltaCyc,4,0.0004794810708644434,0.00038882210169555176,0.0004522459597422848,0.0005073627003972709,0.4906
symmetric_control_v2_normmatched,0,B,3,PR,,7.737209802177659,7.999589683925123,7.682268002647765,7.79043418958313,0.4906
symmetric_control_v2_normmatched,0,B,3,DeltaCyc,2,0.0049865444987922825,0.004576728509474437,0.004808266173769157,0.005171240157467916,0.4906
symmetric_control_v2_normmatched,0,B,3,DeltaCyc,3,-0.0016109397621747838,-0.0014267047148519563,-0.0016772683531913865,-0.001546102958702013,0.4906
symmetric_control_v2_normmatched,0,B,3,DeltaCyc,4,0.0004920180801558762,0.0004109011108789917,0.0004658852099678595,0.0005185612575253283,0.4906
symmetric_control_v2_normmatched,1,A,0,PR,,7.95442398226579,7.988138691112313,7.9437451856377965,7.962103837324703,0.4667
symmetric_control_v2_normmatched,1,A,0,DeltaCyc,2,0.06634830654951701,0.06346609462263259,0.06431691628784385,0.06832071945965029,0.4667
symmetric_control_v2_normmatched,1,A,0,DeltaCyc,3,-0.020763480121267493,-0.020187962328627157,-0.021496026823592054,-0.020011435750407546,0.4667
symmetric_control_v2_normmatched,1,A,0,DeltaCyc,4,0.008092536858622433,0.007436790991496134,0.007718275499036111,0.008461846466824996,0.4667
symmetric_control_v2_normmatched,1,A,1,PR,,7.955496747441045,7.989623472996804,7.941953345838278,7.966579840572049,0.4667
symmetric_control_v2_normmatched,1,A,1,DeltaCyc,2,0.06372067191131174,0.05999002523234692,0.06176060735305693,0.06568545121936775,0.4667
symmetric_control_v2_normmatched,1,A,1,DeltaCyc,3,-0.020328727587057453,-0.019514626193182588,-0.021075718953685388,-0.01959031850302089,0.4667
symmetric_control_v2_normmatched,1,A,1,DeltaCyc,4,0.007747648651333892,0.00692858029558302,0.007396012780952245,0.008109114580219874,0.4667
symmetric_control_v2_normmatched,1,A,2,PR,,7.963713576827915,7.989848350437752,7.955980625090245,7.96889121730229,0.4667
symmetric_control_v2_normmatched,1,A,2,DeltaCyc,2,0.06558458632660727,0.0626729056300318,0.06364277892741392,0.06751651414794833,0.4667
symmetric_control_v2_normmatched,1,A,2,DeltaCyc,3,-0.020852965290896416,-0.02009356673553256,-0.02156763094893704,-0.020152020441741383,0.4667
symmetric_control_v2_normmatched,1,A,2,DeltaCyc,4,0.007904279357583694,0.007044522815213089,0.007545830461956147,0.008265438778070103,0.4667
symmetric_control_v2_normmatched,1,A,3,PR,,7.955293944433816,7.989810728936026,7.941243912635481,7.966634382641928,0.4667
symmetric_control_v2_normmatched,1,A,3,DeltaCyc,2,0.06477708680434811,0.06150062069975848,0.06295107174966098,0.0666456637984846,0.4667
symmetric_control_v2_normmatched,1,A,3,DeltaCyc,3,-0.020571737288424027,-0.019538330493899164,-0.02125706680245705,-0.019874560288769303,0.4667
symmetric_control_v2_normmatched,1,A,3,DeltaCyc,4,0.007866483188531961,0.007200359960629454,0.007517710276419676,0.008209816672482533,0.4667
symmetric_control_v2_normmatched,1,B,0,PR,,7.965994499512303,7.99715216149579,7.949092065272776,7.979698884687988,0.4667
symmetric_control_v2_normmatched,1,B,0,DeltaCyc,2,0.009598651175140232,0.009294436642546977,0.009328667708243182,0.009870962811337742,0.4667
symmetric_control_v2_normmatched,1,B,0,DeltaCyc,3,-0.002463000469443061,-0.002349082960076021,-0.0025635253968714442,-0.002363017108654135,0.4667
symmetric_control_v2_normmatched,1,B,0,DeltaCyc,4,0.000883034049960572,0.0008668403932785562,0.0008371409483206623,0.000928338651306499,0.4667
symmetric_control_v2_normmatched,1,B,1,PR,,7.947707267576087,7.9974733960082975,7.924925989690696,7.967613743371471,0.4667
symmetric_control_v2_normmatched,1,B,1,DeltaCyc,2,0.00941820700343083,0.009170911057532871,0.009142154142468613,0.009695635176124373,0.4667
symmetric_control_v2_normmatched,1,B,1,DeltaCyc,3,-0.002496955276502188,-0.0024574245807848227,-0.0025984575072463293,-0.0023941791382837956,0.4667
symmetric_control_v2_normmatched,1,B,1,DeltaCyc,4,0.0008698459141233497,0.0008670823096576519,0.0008253470599683855,0.0009144685935496889,0.4667
symmetric_control_v2_normmatched,1,B,2,PR,,7.961583809543722,7.997638216595378,7.943012053518346,7.977353890851128,0.4667
symmetric_control_v2_normmatched,1,B,2,DeltaCyc,2,0.009188787852357652,0.008689289140765,0.008928954785179816,0.009455137620682692,0.4667
symmetric_control_v2_normmatched,1,B,2,DeltaCyc,3,-0.002435738156684885,-0.002316759531619833,-0.002533549611521484,-0.002340600983631338,0.4667
symmetric_control_v2_normmatched,1,B,2,DeltaCyc,4,0.0008311438758859275,0.0007932923425285621,0.0007882742399471036,0.0008744494714000983,0.4667
symmetric_control_v2_normmatched,1,B,3,PR,,7.955319727111957,7.997260487704928,7.9347990139446285,7.9740212076854,0.4667
symmetric_control_v2_normmatched,1,B,3,DeltaCyc,2,0.0095705570894174,0.009093866696843034,0.009296316344050254,0.009839278635274085,0.4667
symmetric_control_v2_normmatched,1,B,3,DeltaCyc,3,-0.0025093513962686684,-0.002433480181340847,-0.002609636659607612,-0.0024107126173880783,0.4667
symmetric_control_v2_normmatched,1,B,3,DeltaCyc,4,0.0008716874349664728,0.0008550349383626976,0.0008276352070805807,0.0009161103337994228,0.4667
symmetric_control_v2_normmatched,2,A,0,PR,,7.893475469806611,7.985512336395069,7.868873235843994,7.915389269146628,0.6955
symmetric_control_v2_normmatched,2,A,0,DeltaCyc,2,0.05232685149850055,0.04929060921910633,0.04986271532006437,0.05478863279998872,0.6955
symmetric_control_v2_normmatched,2,A,0,DeltaCyc,3,-0.01920955422074875,-0.018587396477843854,-0.02032676953435617,-0.0181003605113783,0.6955
symmetric_control_v2_normmatched,2,A,0,DeltaCyc,4,0.005493271109730125,0.004758600569148397,0.004952006385356713,0.006051381873689511,0.6955
symmetric_control_v2_normmatched,2,A,1,PR,,7.887284765818969,7.984880442687901,7.861636589181374,7.910094981550153,0.6955
symmetric_control_v2_normmatched,2,A,1,DeltaCyc,2,0.05335210546358857,0.0501280729620574,0.05075299018198163,0.05596345175316887,0.6955
symmetric_control_v2_normmatched,2,A,1,DeltaCyc,3,-0.020070474000604504,-0.019090022995507716,-0.021271006243265046,-0.018853184527214798,0.6955
symmetric_control_v2_normmatched,2,A,1,DeltaCyc,4,0.00584241800682854,0.005097429727086267,0.00524539419578447,0.00643974114841309,0.6955
symmetric_control_v2_normmatched,2,A,2,PR,,7.891969589111987,7.983590396399393,7.872342456844038,7.909530646216125,0.6955
symmetric_control_v2_normmatched,2,A,2,DeltaCyc,2,0.053084750575789964,0.049622026909313055,0.05038589305459896,0.05581508438763854,0.6955
symmetric_control_v2_normmatched,2,A,2,DeltaCyc,3,-0.020236904845727544,-0.019678815796581622,-0.021462258756478045,-0.01903370038599719,0.6955
symmetric_control_v2_normmatched,2,A,2,DeltaCyc,4,0.005761191411259804,0.004950637775537892,0.005152057016739092,0.006367445537204959,0.6955
symmetric_control_v2_normmatched,2,A,3,PR,,7.895485060109287,7.98249623818892,7.875468154700893,7.913436779167108,0.6955
symmetric_control_v2_normmatched,2,A,3,DeltaCyc,2,0.056547985268658486,0.05208687693617542,0.05390726518443158,0.05924869222762527,0.6955
symmetric_control_v2_normmatched,2,A,3,DeltaCyc,3,-0.021163294703738577,-0.019821329502956897,-0.022406361406604996,-0.019958719672617743,0.6955
symmetric_control_v2_normmatched,2,A,3,DeltaCyc,4,0.006260085915093807,0.005372089943233765,0.005675247828837065,0.0068675775264128045,0.6955
symmetric_control_v2_normmatched,2,B,0,PR,,7.9108726526403315,7.998748412052127,7.879237545069577,7.939520129846248,0.6955
symmetric_control_v2_normmatched,2,B,0,DeltaCyc,2,0.008359255053451895,0.007870230864417183,0.008049416396864682,0.008669754815489733,0.6955
symmetric_control_v2_normmatched,2,B,0,DeltaCyc,3,-0.0027374681803423776,-0.002496929285862759,-0.00286015124285974,-0.002616457235419422,0.6955
symmetric_control_v2_normmatched,2,B,0,DeltaCyc,4,0.0007657752114856326,0.0007086446905175126,0.0007161176603546907,0.0008166228969406097,0.6955
symmetric_control_v2_normmatched,2,B,1,PR,,7.907072744160801,7.998925016028709,7.874499343355263,7.937131901549525,0.6955
symmetric_control_v2_normmatched,2,B,1,DeltaCyc,2,0.00841835232955244,0.007602278933505846,0.008097839993415212,0.008747307702156319,0.6955
symmetric_control_v2_normmatched,2,B,1,DeltaCyc,3,-0.002677987169631096,-0.002426631829957282,-0.002802684537524915,-0.0025554479189378553,0.6955
symmetric_control_v2_normmatched,2,B,1,DeltaCyc,4,0.0007352421011962684,0.0006851278534806826,0.0006867020253713929,0.0007831963943155997,0.6955
symmetric_control_v2_normmatched,2,B,2,PR,,7.9108201800204805,7.998960704939794,7.878185254251751,7.94015227741132,0.6955
symmetric_control_v2_normmatched,2,B,2,DeltaCyc,2,0.008435255258614202,0.0078103691976764145,0.00811771218564172,0.008750009819221416,0.6955
symmetric_control_v2_normmatched,2,B,2,DeltaCyc,3,-0.0027506250252387907,-0.002490135495190393,-0.0028710654374778347,-0.002628006057358162,0.6955
symmetric_control_v2_normmatched,2,B,2,DeltaCyc,4,0.0007598071142785697,0.0006948352249724066,0.0007103038504866692,0.0008078288007578939,0.6955
symmetric_control_v2_normmatched,2,B,3,PR,,7.911721497097283,7.998896318094131,7.879115851044588,7.941181755581883,0.6955
symmetric_control_v2_normmatched,2,B,3,DeltaCyc,2,0.008578518361488105,0.008021550261882116,0.008247255372762673,0.008906341533606104,0.6955
symmetric_control_v2_normmatched,2,B,3,DeltaCyc,3,-0.0027135229411341124,-0.0025683772882547085,-0.0028376318621871435,-0.0025863695135587834,0.6955
symmetric_control_v2_normmatched,2,B,3,DeltaCyc,4,0.0007485354905790424,0.0006995644607108442,0.0006991122703998648,0.0007977958293249585,0.6955
no_drift,0,A,0,PR,,7.973525803114466,7.996343416577482,7.9579932295578555,7.986098097831671,0.8702
no_drift,0,A,0,DeltaCyc,2,-0.009467285733801862,-0.009170206689719573,-0.011302261024156834,-0.007634345757557472,0.8702
no_drift,0,A,0,DeltaCyc,3,0.0045992210763917876,0.0037772287298755147,0.00377588521845257,0.005450589753330951,0.8702
no_drift,0,A,0,DeltaCyc,4,-0.0024386771168196804,-0.0021534909500957045,-0.0027661554278496947,-0.0021211945449331328,0.8702
no_drift,0,A,1,PR,,7.956723592624795,7.9963765709988435,7.9360638090351845,7.9755271001339025,0.8702
no_drift,0,A,1,DeltaCyc,2,-0.009277350774463684,-0.00885168787050361,-0.011070721977028037,-0.007453064817966002,0.8702
no_drift,0,A,1,DeltaCyc,3,0.0043452853760028885,0.003321778422467059,0.0034953100490354772,0.005184062263339236,0.8702
no_drift,0,A,1,DeltaCyc,4,-0.0024028637733590403,-0.0020208889901570937,-0.002730039949026636,-0.0020729292614162865,0.8702
no_drift,0,A,2,PR,,7.978173538429232,7.996128814411086,7.965174460537964,7.988043791652823,0.8702
no_drift,0,A,2,DeltaCyc,2,-0.007316923954643569,-0.005379998168943023,-0.009228322775258542,-0.005351532795082264,0.8702
no_drift,0,A,2,DeltaCyc,3,0.004013499757041532,0.002720325502658716,0.003113545131535053,0.004897231397237001,0.8702
no_drift,0,A,2,DeltaCyc,4,-0.0025264730980658788,-0.0021383732839638098,-0.0028733529170986683,-0.002176544127621029,0.8702
no_drift,0,A,3,PR,,7.969780192806959,7.995958007747351,7.953843421770226,7.982746475684855,0.8702
no_drift,0,A,3,DeltaCyc,2,-0.00844314363522246,-0.006957511962333629,-0.010289123944365985,-0.0065662739134949724,0.8702
no_drift,0,A,3,DeltaCyc,3,0.003868998453790088,0.0029510305508742563,0.002971664205197538,0.004756100515706484,0.8702
no_drift,0,A,3,DeltaCyc,4,-0.0023143639609655006,-0.0019691910477191987,-0.0026556301627879324,-0.001966052038572322,0.8702
no_drift,0,B,0,PR,,7.9614679679180185,7.998911742554766,7.939497822633285,7.980405771074781,0.8702
no_drift,0,B,0,DeltaCyc,2,-0.013115564847748683,-0.01230659057101835,-0.013579923334920923,-0.012667646457212772,0.8702
no_drift,0,B,0,DeltaCyc,3,0.005162582669868974,0.0047507976545195785,0.0049761214456299635,0.005351226490311971,0.8702
no_drift,0,B,0,DeltaCyc,4,-0.0008998679876183624,-0.0008219983993267843,-0.0009595190560971594,-0.0008408977116262183,0.8702
no_drift,0,B,1,PR,,7.979984923023907,7.9990030097900675,7.964108348181229,7.99274179664655,0.8702
no_drift,0,B,1,DeltaCyc,2,-0.012629387257057652,-0.011978426104858053,-0.013078473761306452,-0.01217940161049484,0.8702
no_drift,0,B,1,DeltaCyc,3,0.004938030526591569,0.0045734510228163106,0.004753928814967389,0.005124975908326212,0.8702
no_drift,0,B,1,DeltaCyc,4,-0.0008568547041752247,-0.0007594994742301658,-0.0009173386354962747,-0.0007965822626951824,0.8702
no_drift,0,B,2,PR,,7.9534605795264515,7.999115005076479,7.929905025708594,7.976104230861283,0.8702
no_drift,0,B,2,DeltaCyc,2,-0.012311528131479326,-0.011280917376759014,-0.012784892937565177,-0.011857026496887062,0.8702
no_drift,0,B,2,DeltaCyc,3,0.004844322340450534,0.004346541351986449,0.004654867990234411,0.005036989264315133,0.8702
no_drift,0,B,2,DeltaCyc,4,-0.0008790861430311363,-0.0007694048800612058,-0.0009365698911011473,-0.0008217050945921278,0.8702
no_drift,0,B,3,PR,,7.967444557620518,7.999040061424664,7.948288838660356,7.983532090545345,0.8702
no_drift,0,B,3,DeltaCyc,2,-0.012195121138508229,-0.011470577896838696,-0.012652725898920662,-0.01174157140553183,0.8702
no_drift,0,B,3,DeltaCyc,3,0.004730023725458705,0.004385634470553568,0.004540425931440949,0.004917758172532321,0.8702
no_drift,0,B,3,DeltaCyc,4,-0.0008033668150677125,-0.0007205551011850719,-0.0008632769690147228,-0.0007440142126713952,0.8702
no_drift,1,A,0,PR,,7.977520798759388,7.996045130596236,7.964950607882717,7.987084871670601,0.7064
no_drift,1,A,0,DeltaCyc,2,-0.021236367272567093,-0.02153645730135284,-0.023085018415062296,-0.019369489933091618,0.7064
no_drift,1,A,0,DeltaCyc,3,0.008677857674434644,0.007663821233169027,0.007818398791551311,0.009526736131367177,0.7064
no_drift,1,A,0,DeltaCyc,4,-0.0028349039741874106,-0.002364208905033971,-0.0031644887028522617,-0.0025073703468086895,0.7064
no_drift,1,A,1,PR,,7.973420612393594,7.99551994972729,7.959509415906418,7.984194817851622,0.7064
no_drift,1,A,1,DeltaCyc,2,-0.017777855570486917,-0.01590447588420507,-0.01959192837469626,-0.015938637089071082,0.7064
no_drift,1,A,1,DeltaCyc,3,0.007156518496053632,0.006038226209559044,0.0062526208031156135,0.00803955539449653,0.7064
no_drift,1,A,1,DeltaCyc,4,-0.0024467720148980752,-0.002145090101545774,-0.0027820005284871258,-0.0021055933689726734,0.7064
no_drift,1,A,2,PR,,7.979712845934991,7.99565431031786,7.969859801545856,7.986701480918494,0.7064
no_drift,1,A,2,DeltaCyc,2,-0.016816178350388723,-0.013912739034316168,-0.01875350638182019,-0.014919822323585519,0.7064
no_drift,1,A,2,DeltaCyc,3,0.007266909453325327,0.00572575087189775,0.006411601718916156,0.008144621968694917,0.7064
no_drift,1,A,2,DeltaCyc,4,-0.0026270790724027735,-0.002255123612939877,-0.002957521523393703,-0.0022980989924494136,0.7064
no_drift,1,A,3,PR,,7.983372401783977,7.995841820633782,7.9758894339863,7.9875301220230535,0.7064
no_drift,1,A,3,DeltaCyc,2,-0.019267591124896254,-0.016832981381407375,-0.021220542962731227,-0.01736791557778744,0.7064
no_drift,1,A,3,DeltaCyc,3,0.0075930402650867855,0.006273371393594546,0.006715799380998646,0.008517072904067372,0.7064
no_drift,1,A,3,DeltaCyc,4,-0.0025743511298319368,-0.0024288399122620874,-0.0029150342754888526,-0.0022299183766053554,0.7064
no_drift,1,B,0,PR,,7.963875565195044,7.9987626830981124,7.941866490452646,7.982740690491762,0.7064
no_drift,1,B,0,DeltaCyc,2,-0.01466262334311469,-0.013718092037649982,-0.0152040773498285,-0.014116172048720278,0.7064
no_drift,1,B,0,DeltaCyc,3,0.00560680113879771,0.0051824472245502184,0.005380453991063382,0.005831324636365515,0.7064
no_drift,1,B,0,DeltaCyc,4,-0.0008868115702647173,-0.0008115840984725953,-0.0009580353883195734,-0.0008155389326874403,0.7064
no_drift,1,B,1,PR,,7.969459499062623,7.998953129903342,7.949753732679945,7.985932497332506,0.7064
no_drift,1,B,1,DeltaCyc,2,-0.013122346528315615,-0.012370546826411533,-0.013650139140300535,-0.012594398331806289,0.7064
no_drift,1,B,1,DeltaCyc,3,0.004878876551508144,0.004455268345486818,0.004663547727787319,0.005098461000155066,0.7064
no_drift,1,B,1,DeltaCyc,4,-0.0007961076052337077,-0.0007380049868075944,-0.000865347954201382,-0.0007283868164563018,0.7064
no_drift,1,B,2,PR,,7.9647795566882085,7.998912717129021,7.9431626790859635,7.9833538912438815,0.7064
no_drift,1,B,2,DeltaCyc,2,-0.013560760135568005,-0.012758598148034372,-0.014091260389816927,-0.013026741985241043,0.7064
no_drift,1,B,2,DeltaCyc,3,0.005241665552829843,0.004687037860735183,0.005014895571035586,0.0054705977361759394,0.7064
no_drift,1,B,2,DeltaCyc,4,-0.0008844828845704996,-0.0007643424918742231,-0.0009589223215934625,-0.0008138469773942502,0.7064
no_drift,1,B,3,PR,,7.986093410997531,7.998870317543065,7.973203439475884,7.995786096062503,0.7064
no_drift,1,B,3,DeltaCyc,2,-0.014121322506012286,-0.013319695156578992,-0.014666314756000028,-0.013563444723700758,0.7064
no_drift,1,B,3,DeltaCyc,3,0.005436989057252349,0.004911210051070952,0.005203671137281611,0.005670877104616831,0.7064
no_drift,1,B,3,DeltaCyc,4,-0.0008778434927112,-0.0007953763717394868,-0.000952277785259963,-0.0008040597484337906,0.7064
no_drift,2,A,0,PR,,7.957810235899389,7.99532237735296,7.93842463713879,7.974539904920623,0.8446
no_drift,2,A,0,DeltaCyc,2,-0.014334390554479463,-0.011658360720230854,-0.01629055530114247,-0.012340305774374173,0.8446
no_drift,2,A,0,DeltaCyc,3,0.006610669291625304,0.005219649788243352,0.005690141206979526,0.00753680659310881,0.8446
no_drift,2,A,0,DeltaCyc,4,-0.0028786689712822717,-0.00233906601127698,-0.003237342735131788,-0.0025260993947785297,0.8446
no_drift,2,A,1,PR,,7.964392461676277,7.99539538199093,7.9456197104779935,7.979860826095944,0.8446
no_drift,2,A,1,DeltaCyc,2,-0.014302256103209548,-0.012321655901254086,-0.016253208609286196,-0.012422240621361507,0.8446
no_drift,2,A,1,DeltaCyc,3,0.006581455701969803,0.005172077990683893,0.00569086347931251,0.007475431194828554,0.8446
no_drift,2,A,1,DeltaCyc,4,-0.002692328136286571,-0.0022088117017340925,-0.0030333281909901634,-0.0023506182110878556,0.8446
no_drift,2,A,2,PR,,7.967448575413251,7.995497085834315,7.950737473548079,7.980893134929333,0.8446
no_drift,2,A,2,DeltaCyc,2,-0.014764253727234918,-0.013716746955283743,-0.01675479454419452,-0.012814900218680331,0.8446
no_drift,2,A,2,DeltaCyc,3,0.007167610750554014,0.00636018866327262,0.006244256102741618,0.008111654816217315,0.8446
no_drift,2,A,2,DeltaCyc,4,-0.0030141821147062803,-0.0028578508979655998,-0.0033718632785307073,-0.0026557688962735764,0.8446
no_drift,2,A,3,PR,,7.968202836619601,7.995484303133981,7.951616210127875,7.981566375424478,0.8446
no_drift,2,A,3,DeltaCyc,2,-0.012838277302362325,-0.011514298315269844,-0.014782015412130525,-0.010905321526068079,0.8446
no_drift,2,A,3,DeltaCyc,3,0.0058822214849568715,0.004290004862748054,0.004968904263214254,0.006803603475111787,0.8446
no_drift,2,A,3,DeltaCyc,4,-0.002628910668545324,-0.002213495796749232,-0.0029773658800214572,-0.0022910601549663246,0.8446
no_drift,2,B,0,PR,,7.95588817842932,7.999208670553253,7.933754013254535,7.97488041694449,0.8446
no_drift,2,B,0,DeltaCyc,2,-0.01143856671793471,-0.010388376384760978,-0.011938930371578577,-0.010944108619491343,0.8446
no_drift,2,B,0,DeltaCyc,3,0.004626488547029974,0.0041447012707281905,0.0044186632311245845,0.004837876042028293,0.8446
no_drift,2,B,0,DeltaCyc,4,-0.0009453305215418208,-0.0007738096565760577,-0.0010093014359479915,-0.0008852929378255917,0.8446
no_drift,2,B,1,PR,,7.948616030820215,7.999281780642109,7.922865011593612,7.971066607781756,0.8446
no_drift,2,B,1,DeltaCyc,2,-0.01048248810929709,-0.00959831054970356,-0.010959620736513477,-0.01000836713523902,0.8446
no_drift,2,B,1,DeltaCyc,3,0.004151764464917952,0.0036805977790207445,0.003952864278910694,0.004352208974370157,0.8446
